,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27
points11,19.583878091018605,10.371942887842376,8.508262803711935,16.263262310199515,20.85981526868775,10.370356820806654,11.649464404177317,10.773242776067542,9.879156440947577,22.206965578321842,17.637373921586313,19.095998810292603,10.237164229051613,10.773242776067542,22.206965578321842,4.816469027657346,17.396407778014662,25.66812894874269,20.25805848831455,17.043938158482746,16.002649826563317,11.821760308717879,8.636000700602986,8.900995508157997,10.857089002062565,11.590092134597233,8.728888354362239
points12,11.434549874884754,9.966194990137192,17.06381991218163,20.074797880760823,18.461302642212832,20.146641448350817,9.024391429507334,18.07425506613168,20.991560649138364,14.610409963200956,17.394823301238713,10.490326350249141,8.686643730771697,18.07425506613168,14.610409963200956,16.652070540777085,16.876986957525236,14.118487351010243,10.092234404689801,16.07247890057362,15.987011362527282,13.08360576626387,7.886646554113098,7.700552759090597,9.161887658635935,9.253810300391452,7.8549792619740275
points13,15.60299490219577,6.67030385884137,13.29659314810515,20.271819867287075,24.16497793117899,14.683456263917575,5.75604961612471,16.80180879533772,16.019700322434236,18.496107488041222,16.934258135639926,19.190944744415866,2.5581663802976236,16.80180879533772,18.496107488041222,11.232401365749583,16.716675918723364,19.134455716720687,15.773102100045008,16.484620813406792,16.565750093577567,12.943621465376095,1.6797274132881124,1.8038079298499932,5.9022121706508255,6.500633408004377,1.5161339185103522
points14,13.555351762868163,5.1614114366463815,15.482706120040117,11.067564850886553,22.44928394814714,7.584769941634555,7.985296444066676,11.289298916728914,7.807833145527988,16.587356904523503,11.26916785593713,20.56960707057597,11.751094173536725,11.289298916728914,16.587356904523503,4.7182710061431585,11.445693354331958,22.5633215142915,23.154638044062445,10.115117948555818,9.481822309759078,8.653943419055128,10.768042242475099,11.349864409972168,6.009081928673392,6.655650640169995,10.671582473256679
points15,14.018074874751356,9.00951199098161,13.629736393855602,11.984961787750166,21.313552434747386,7.535826270649718,10.385165811572934,11.458483332754874,11.040945065804024,17.018693299450312,10.71996705993658,20.338690763941695,8.920253128125896,11.458483332754874,17.018693299450312,6.0157274344352585,11.133043759813711,22.32437595748339,23.205531892614772,11.351637477700626,10.481015715021794,8.212300487452637,8.868540567706827,8.861562955915238,9.386145709846563,8.878160798065586,9.006477241645598
points16,23.28588796567055,13.710502297105238,4.301752895023876,15.332475756322172,16.529838349427422,10.217828895417156,14.609015946064673,8.809781715129413,10.487675853750751,25.65786645685609,15.631805531439808,17.212694228038384,13.11086880301995,8.809781715129413,25.65786645685609,7.613099065821549,15.133807396874971,23.78273082172559,20.4166639418609,16.390305461987587,14.652148040217828,13.23085453806782,11.977747038189772,11.851984511115749,13.875832420420647,14.477062543565513,11.758344675708745
points17,17.006050905321278,11.621236788377047,12.738060352252127,12.229663920035804,13.515317985655335,15.06539045747056,11.562088916497439,10.336710867834233,14.65250145812393,19.80399357094201,11.50660236198022,12.90282955850316,15.044466624093328,10.336710867834233,19.80399357094201,14.470141902490212,11.707267955012066,15.62425930037482,15.375949605912265,10.8929286405338,8.446939387770314,8.370185115565047,14.803827088180572,13.776066214585196,11.499794828347968,11.921147571495194,13.97867629857677
points18,13.73472767225234,10.941000287747604,15.714906069752862,18.157284278400876,19.6609931590261,18.52047474147769,10.138144099955685,16.57066211529153,20.281128201736337,16.75456566523486,14.727274440518999,12.151353809141545,7.949339703304211,16.57066211529153,16.75456566523486,14.527784786709725,13.89723866861478,15.87525734426012,11.783196288731457,13.95207004053005,13.223079508108409,9.333411710655904,7.079999229919037,6.986409226665452,9.416994606250343,9.872235979218633,6.9989678389883325
points19,13.674254614358247,10.223989409018362,15.848757828655456,21.548397518654532,18.50835662802634,21.892814865130024,10.148221778562936,18.661985840811745,22.022769039547857,16.698194522077383,17.499205896316905,8.792902817676337,10.413307057931194,18.661985840811745,16.698194522077383,17.740473087956662,17.5803379303132,13.47029073015306,8.276484101710068,16.53466103927998,16.46429772910554,13.933578614446844,9.195190653740054,9.297911738199383,9.057721660773144,10.440686027519217,9.115762793098611
points20,13.62676303746658,6.48429091579596,16.24588415291074,17.86933422167711,24.072356050457774,14.250151238764134,5.601056579043605,17.733832065838772,16.888143379823997,16.653924320222817,12.273310570422533,19.437911898664158,2.3700210043856864,17.733832065838772,16.653924320222817,12.660293352312461,12.14378109762472,16.615090486708137,16.22367231440332,11.748015427651548,12.545806869878977,11.24555224060644,2.201984691975357,2.017647377514444,5.059244807068786,5.728192574221734,1.8377795678394833
points21,19.91247475997093,14.664013599409625,9.437551520370532,12.485941795328747,12.68985753998347,11.71248198230364,15.201434778301754,9.623061338103655,15.193504080392783,22.51327338731374,8.989936634486362,15.617250899158684,15.088744641447379,9.623061338103655,22.51327338731374,12.89407655042032,8.692077072403933,17.3512978930532,18.862455883666144,11.209787955851617,9.424135797319513,9.615174160621448,15.76612068720565,14.771945930661449,14.077993874095114,14.175102487699563,14.846843777897437
points22,13.861492703539597,14.570702633172997,14.390112236054085,17.973210916046916,14.087959406970484,19.332988185116342,15.118973962536392,16.96327394256657,19.978044693762385,16.8727321673914,13.827132872688688,8.790227298393997,15.204498700098817,16.96327394256657,16.8727321673914,16.730161197021573,13.372723453569613,13.598697110549708,10.938307964762352,13.034760093314649,12.450570645441717,11.746488220868917,14.780397119215055,14.399443508570833,14.042707416100365,14.875618653363905,14.648506727953192
points23,15.871298142459123,8.170238515412954,14.54725417315059,15.581468131230688,20.571580624565453,13.73852424631807,8.323150214723238,12.929020505069552,15.434689575404958,18.746211598750932,13.79354673521528,16.480147228232155,8.567013439675536,12.929020505069552,18.746211598750932,11.879129374774973,14.000578439337076,17.95373865024208,16.755685262040593,13.88194683279535,11.757142335748325,8.981187873678905,7.672261305987662,8.08245200795701,6.921236731507256,8.160387294279563,7.596675685396291
points24,16.45192635025106,11.935540582791894,9.964467096510116,6.418314001268423,14.437096928844888,0.0,13.656475548204034,23.30141607029346,25.484409561943075,11.455604740325018,22.59962361811479,4.66112877744553,13.118503981452644,23.30141607029346,11.455604740325018,23.191141738174085,22.166646218849294,6.2279710276557845,0.0,7.5455547193937695,6.429050700440761,8.247925999779138,14.758808324508733,13.852183790916268,14.242955379527416,13.09747310525031,14.38197724875664
points25,11.409343450428265,11.491176617852574,17.208282329180058,19.54136177325466,15.601602014509671,20.327511477003736,10.05822425606469,19.45918560144334,24.327992185399484,14.586913301861067,14.712360733448895,10.541791105928693,9.523556054327086,19.45918560144334,14.586913301861067,20.483797769909057,13.591041800518612,10.207702760362535,9.904157546932886,13.821749833897647,13.677195998780958,13.828181842101715,9.257194037370638,8.730780662787275,10.156369398717853,9.754379898907445,9.222786270309374
points26,17.77662477079803,7.655401740972189,12.59584399486364,21.39143463832288,17.236416971261015,19.308729424812697,6.895397127687095,15.469994830091036,18.138065371929006,20.522299064278723,19.39005468995567,12.102807964933588,10.707782036890086,15.469994830091036,20.522299064278723,16.95036888029085,18.533946721683986,13.868644669003766,10.963533323794854,18.35343075197616,17.496162100167226,15.898191500648641,8.956567793590205,9.391000742807373,6.325846051624824,7.908495594552015,8.87720424784498
points27,5.854319211511844,9.22656401844808,23.374032166179752,17.7143721850184,17.11070038052976,15.347159176481542,9.212744725274899,21.205935087687084,18.903897916542366,9.408688857454909,13.158869135006908,15.880068824597014,11.281206050313608,21.205935087687084,9.408688857454909,15.729310285338837,12.739004740661272,12.858005828099964,15.08295371444,10.176513972830964,12.885202104825668,12.077513518626185,10.996696239826907,10.631920014147916,8.839253075934398,8.98734581965255,10.645468171084277
points28,20.045074292447723,9.645260286726772,8.320775272435144,14.752373524058436,20.43358289033457,8.250246119471155,11.806266452616136,9.895943397514515,8.359644156131088,22.636878633817954,14.82182896036402,19.92233561350432,11.828338681887042,9.895943397514515,22.636878633817954,3.550240236216621,14.749964850265474,25.894139030556232,22.462645736814196,15.081241137677644,14.291934329309923,11.608850849598637,10.636471412409428,10.92414611281594,9.905934391421129,11.095096445882485,10.324745320126597
points29,18.967469637999667,10.709595930805135,11.50481052168488,11.879420205267678,18.172484261635407,12.727371376836913,11.012613466429723,11.740026743718015,14.796228279984044,21.63236838812419,7.348498600847379,16.108611208886025,10.009081501964692,11.740026743718015,21.63236838812419,12.088713932141836,6.495141258355171,17.42972680369377,17.807127868758148,8.199485113512226,7.060418391301357,7.441860903619643,9.78137562587298,9.579579554490634,9.469878380166321,10.40388674352652,9.609222469029167
points30,15.090132869510786,12.783616160363858,15.008614294310567,8.928983776918306,11.817004111692045,10.419823388304431,12.519889374628047,11.768107220647709,14.90992101290959,18.018033117878755,3.9848256866574996,17.453616203458942,14.541724631964458,11.768107220647709,18.018033117878755,15.783283776446563,0.0,15.813746202236558,8.501644530978181,25.453692096362218,26.15714455170386,21.69295928749624,11.531334139443217,12.908906590810677,15.476204659482757,16.74683137699861,12.097537409646378
points31,18.314827484295442,11.71004628140373,9.878725193434107,10.809293334732475,18.724053102122465,6.55176573729145,13.290401843767324,8.35569584555195,7.351750500967249,21.02399524546796,12.253398527632662,21.09543453633078,12.106580896560848,8.35569584555195,21.02399524546796,3.5834917960267387,12.171538303198549,25.76314500857435,24.22880265966803,12.161082950732238,10.376573749616465,7.430243262821397,11.465868849604195,11.195012845622191,12.352559888190028,12.074939781118406,11.052254625036813
points32,21.46258843996567,17.799260492166226,6.385409431005027,12.488450605975446,12.436032522240524,7.46076538318988,17.874599368159103,8.974761981499132,11.896388072348305,23.958242158669254,10.273965511732614,20.56181627795755,14.591124595380592,8.974761981499132,23.958242158669254,10.887626535145362,10.016398273129427,19.908878247357006,23.283583607202498,11.786002994521183,10.105856160648308,11.461595386028495,15.075190036463459,13.790078158353275,17.392422536990725,17.197349087096974,14.03480608482104
points33,15.386876435334559,10.89387911475939,14.204494053546496,18.095720996734954,19.896178301310318,17.332120882034257,11.743770073771284,15.645753065175773,18.73161195955146,18.294648434064783,14.484106596375709,12.478116728933594,10.241201688297279,15.645753065175773,18.294648434064783,12.66993706534191,14.792671034767976,18.035200129448167,13.01890052039448,14.058375942352463,13.806632559889017,9.923364103985834,9.231620996834188,9.205330111404201,10.203765080301778,11.841677722016549,8.731468359996015
points34,21.72801793957745,8.14988315674231,7.484922871277928,14.036595550843632,20.228724341795306,13.919218611060938,9.724041879889036,8.96123111735299,10.358388090764441,24.20566745584929,14.442075609911454,13.995833999761643,11.90913441379355,8.961231117352995,24.20566745584929,6.207826130640176,14.712368816678637,24.013451072486394,16.56779106758323,14.596105071667802,13.77438788687011,12.155887424413919,10.172830730061817,10.797208217368606,7.58405047577821,9.511827940392514,10.11930209834083
points35,14.812269750168575,4.459374759348931,15.152141779357128,17.365400140528674,25.147003166900063,14.231797742184352,4.150759752589869,15.55681234867518,15.434334976760972,17.75901757899112,14.428711480811794,19.214316409051314,2.6285306110046918,15.55681234867518,17.75901757899112,10.34616909796083,13.64230483696451,19.220530245025504,16.242757112428105,13.990120608698696,13.494891061666081,10.058858123074105,1.9022158033540528,2.194585792474634,3.4116430014396544,3.7589730981218734,1.8167446046766274
points36,16.53560770334358,11.441604399425826,12.905570586141861,8.70848689577333,17.78697649054596,9.538025381071911,13.435844020444351,8.393503670440513,11.44427715157856,19.365460743106713,8.184256850682218,16.55138678634217,13.368385209101524,8.393503670440513,19.365460743106713,6.846743901032595,8.079655054777776,22.427210723438346,21.12355446331656,8.765876992799736,7.086664195207817,4.9933279247403535,13.53963471580841,12.710364877846258,12.40469476961618,12.145387793734342,12.895229848950128
points37,14.344059330424937,8.631154629211323,15.33771991274308,16.005623085195346,19.378688476650908,15.446491733192241,8.627462289644724,14.473270121689678,16.66335403141335,17.32256608276595,14.245329247695311,15.478302549678894,9.81758170872589,14.473270121689678,17.32256608276595,12.704259486690685,14.429292038251479,17.10111648869796,14.97966321751107,13.419478055486282,11.703257732744044,8.718382638091624,8.565592225963954,8.65416149474699,7.8938523628406125,8.100406620462842,8.558732633202288
points38,19.043367214708127,9.561434552117948,11.604303345629939,16.80488288324312,16.14901586752781,16.764198961338778,9.01962244010441,11.032878891718152,15.684911526959697,21.703117798042083,16.75594648558319,13.03895107828195,12.30892402292624,11.032878891718152,21.703117798042083,14.964911003340166,16.464477494935526,16.00978336115511,13.609451487247297,16.47007309919143,13.664267211990369,12.174428698511129,10.944756781105964,10.899897302656756,8.797374800581384,9.473085097511994,10.84042530130675
points39,19.537563899355547,11.285775752383463,8.998649968856386,11.96148473665745,17.323594284465518,9.98149357131444,12.599134427202529,7.377345386548679,7.861056742110983,22.163792899125877,15.011895188253131,17.780050838699058,14.232979919955838,7.377345386548679,22.163792899125877,5.135910478434205,15.079339317914101,25.25298659757947,20.66241612902673,14.99180046292589,12.419146795257156,8.778323577271726,12.938658561394249,12.824575861029134,11.436143503169383,11.68642485835383,12.58038240551069
points40,19.869096394598525,11.831289441515338,8.157717393104525,14.57491915654577,19.317798547846735,10.95530370056608,13.734999428601045,9.276217764517986,7.592427745306753,22.47283739598968,15.926727346301378,17.510330519445596,13.337378315481129,9.276217764517986,22.47283739598968,3.7993593540521013,15.48618119484472,26.543999478643986,19.649804196991475,15.265558589802934,14.153852805365094,10.918580927784248,12.28694890532623,12.16574390650942,12.637592587690387,13.523614797000345,11.929343128316455
points41,14.341039920662071,12.369214429905446,14.783154354391748,18.0712277008429,17.700091942980105,19.595173468174064,11.559741781864377,16.724159389200725,20.72368181035579,17.319751480926374,14.21825096534186,10.346411454443931,9.416231027865505,16.724159389200725,17.319751480926374,16.078238926327188,14.166860701915795,14.701278272984474,10.665675818049815,13.689635832557418,13.340180049066687,11.688659273172293,8.596188277865302,8.424535964209168,11.015547971998782,11.65735472540238,8.47810814417749
points42,13.96653378723507,5.2620403349177085,13.831801268764274,18.91104229575466,24.78215833205936,13.323657770625363,3.9901060856616266,17.015788485043476,14.388363086978632,16.97064826709953,16.138231380284658,20.855540782905276,1.3629032570061506,17.015788485043476,16.97064826709953,10.241359645374951,14.960641351027256,19.5614084965139,17.187082236531598,14.481653833851121,15.531696983009304,13.452843694908614,0.9967089965726462,0.6433227062812605,4.9231541864174355,4.855323597175466,0.7211878716335264
points43,16.931416722456166,5.858855925979004,13.515073607869443,18.273515592211396,23.946851285279518,12.643193562774346,5.299147603792682,14.966517294885069,13.249026534996792,19.734421858294397,15.958580300125337,20.490361309184436,4.104007793355341,14.966517294885069,19.734421858294397,9.901566929191558,15.124139536173125,19.41427342968209,17.89465977705521,15.062861742694873,14.51638101802341,12.370638107276115,2.924905393442495,3.2596427712110154,4.496339024093748,5.550906156456854,2.628328040843496
points44,12.471051025077726,8.210494754205673,16.547178431836016,19.26936444709137,19.940408322265377,19.3762722214263,8.054813128115027,16.95662749542054,19.745545799705795,15.576604773834456,17.019852832496788,11.58942194689905,8.727843199888348,16.95662749542054,15.576604773834456,15.162915945715278,15.90765810023814,15.245686430489629,10.893299260993995,15.492681747420312,15.076882996821324,11.742751693174752,7.890568788830314,7.85691638235002,7.729972242532327,8.088043349830274,7.706329199250914
points45,11.209237783999248,9.869939653736333,17.55534982943731,19.248257329782227,18.216737557116808,20.175912127637016,9.185634379408643,17.89997734393577,21.4979361662231,14.40038089285595,16.447665817315666,10.614262373675034,9.478841320955091,17.89997734393577,14.40038089285595,17.199247164093972,15.629266724541843,13.625361843268577,10.06179742502235,14.945166106051731,14.658866539544343,12.058283407718541,8.78643013717382,8.400062805764057,9.39726149058707,9.365657226826055,8.58386779898607
points46,20.77884411668431,15.264637264248911,8.092368588925915,14.598556314256397,16.409737285617105,10.257510712231262,16.19649656114842,9.37549320837463,10.839816789256817,23.32087652059778,14.779317490141604,18.00520301178544,13.221834703533816,9.375493208374635,23.32087652059778,7.274011546154917,14.596255547779805,23.811103947709473,20.37540098927518,15.107308932752062,13.335578067833382,9.916735652030413,12.463928965091316,11.719665531806244,15.871429431724755,15.919869519435586,11.962752229991022
points47,15.768590164688002,2.004100560599082,12.563515934054449,15.089699580585435,25.897670066967493,8.483446777672034,3.3930653121804557,12.492737309274826,9.62359292336573,18.650470349342147,14.36302676261736,23.77409046687696,5.195662946397525,12.492737309274826,18.650470349342147,5.787883212653227,14.230514624786416,22.910718376182857,22.22015311740167,13.912485303571488,13.931325363424019,12.37227978056186,4.207193964589612,4.8998564165933844,2.915727822443289,3.0928112821266254,4.459602893774882
points48,9.077243100433384,12.198547488665099,19.16956221568081,13.700866802131987,14.666477314721872,14.251319797833455,11.654601797553381,17.593809047548373,16.581761653715294,12.413000368313323,9.672531414477614,15.498550799679297,12.836413312383103,17.593809047548373,12.413000368313323,13.736920037311084,10.223816621032475,14.811091301618946,16.222457193692065,6.570245661441997,8.948313539858095,8.238833559657333,12.956451510742028,11.639304555858368,11.864148163004254,11.89221524141203,11.97626270259778
points49,20.499495313808602,16.563454017511045,8.159043269852745,12.538622511444524,15.89089316434251,10.271846839368951,17.08626446382894,9.145053442220748,10.202436005414029,23.06047607275945,11.852696942300126,17.466735673553043,13.088451005983783,9.145053442220748,23.06047607275945,6.865436414847844,11.509183502957036,23.704613329628042,20.360493634173064,12.418545925925295,10.404272207843325,7.8768510435068215,12.62026896297326,11.82548464059401,16.446752162321904,16.437691100853026,12.11039510952281
points50,15.299304626901737,9.293027370958951,14.8853821724222,15.49588551091994,20.34079575691736,14.92188700028456,9.62852586976422,13.45464863583083,16.459006166859687,18.2130166608151,13.428632397652558,13.62500783004261,8.841523986163775,13.45464863583083,18.2130166608151,11.096738857184842,12.366172787435396,18.589951192679376,15.525171008185543,12.471201509168155,11.614541852868959,7.629146846836234,8.25663272208311,7.83501490665229,9.300970354849714,9.776185203108131,7.880525120105905
points51,20.77884700780701,15.173152011976374,7.460853028633059,14.459568854496707,16.861586918100155,10.681691950141229,15.744640355773475,9.70162988516485,10.78652897950784,23.320879215614323,13.374415303198793,16.579736871135996,11.728406135479034,9.70162988516485,23.320879215614323,6.383107523108537,12.883392281814363,23.873231317596648,19.93431810263156,14.14397871852377,13.106609748322434,10.216650500446123,11.526557325247811,10.628617029341354,15.189720855262074,15.252849394628603,10.837286886905046
points52,12.52543717675835,10.882175110133316,16.093678580661333,19.147620775167663,18.839147586217035,17.67361454922572,10.351623688760451,16.489667320501557,19.157120470589586,15.62730188836671,16.066645458519353,12.845381215056896,8.427565275878784,16.489667320501557,15.62730188836671,15.134950239942716,15.283584816949805,15.342803688485674,12.663799919440267,14.544749545001157,14.935710366950701,12.170917917901724,8.750029955450257,7.557542876851801,10.725109194340881,10.407548560622562,8.154010584557266
points53,14.672731708732949,10.704103647453497,15.956598223895494,10.192739407514711,19.060911945006847,8.327148482086667,11.665606818692233,11.806572902826485,12.39183748472352,17.62894446571386,6.957982005363673,20.53570059358206,10.699651585235197,11.806572902826485,17.62894446571386,9.126417042872012,7.229319709107851,18.740108323429652,22.38267917285371,7.0554477546991095,5.854766424604179,5.3611572965339,10.80239287893842,10.422392931858175,10.111488129430446,10.688314028368513,10.528232075882821
points54,17.07721383954446,4.570574524925666,11.676971282244063,17.7186979496131,23.684391015775653,10.411253815323848,3.4681377854050517,15.0660189311226,11.91350379851147,19.870329491305522,14.86840011248555,24.64559586971953,2.5609413041494298,15.0660189311226,19.870329491305522,10.147177553386536,13.935459376932453,19.251867131597397,20.215531938848162,14.685699574558377,14.615708253419802,15.215219180394962,1.8755414472224021,2.2577698059716327,3.3884392582822307,3.465266996378897,1.8104520599276857
points55,5.772041534310627,9.795724438471602,22.303098892648283,13.65500055182744,18.00649855882259,13.600870527145036,9.71195316301527,18.7026105422335,15.880845952174377,9.33199211213244,10.115338839834962,16.506883135216697,10.476042342141444,18.7026105422335,9.33199211213244,12.258485360116218,10.160052824474906,15.47418683134185,16.89882384145829,6.771792914583776,8.924023388369339,8.113000584881808,11.054248179631935,10.049920347543644,9.54947350278449,9.333299010588487,10.317065689771253
points56,12.17462512363365,11.278611575822659,16.81000995882163,7.010783552806002,16.0213464641478,9.535190918776062,11.956773777901923,10.140649519175986,11.656275772259809,15.300285574710266,5.9770664447503865,19.330867855948128,13.76443690818942,10.140649519175986,15.300285574710266,9.869521457063357,6.295828577532254,18.321510449683828,21.126501865746935,5.677280001175694,2.745498756781206,0.0,13.70835073973027,14.443773073558942,16.194880221661258,17.334195085035496,13.643551684584969
points57,19.03446198994726,12.828853533789859,8.323180709604594,11.585231389592215,18.23275499452304,8.228699937058638,14.08338355885405,9.446966967399371,9.356646835718275,21.694816618685095,11.263625010615767,18.525568079124444,11.528154239976868,9.446966967399367,21.694816618685095,4.124097302262063,10.878750320080878,25.721025168735075,22.48505043434747,11.57817573264812,10.6542709501089,8.426440196581533,11.23642019490832,10.701711139864551,13.44622859391928,13.386266342292082,10.732032289298889
points58,6.173506686900291,11.636451750102905,22.37089530134669,20.4050597754699,17.452535525496124,18.40688051071086,10.689120972081412,22.223143562856233,20.602226755998363,9.706225702717562,15.432363019609443,13.819776403696663,9.613387517650619,22.223143562856233,9.706225702717562,17.133731623329336,15.572875695671565,12.609660546806666,11.901316721072053,13.041524403417592,14.71402184141751,11.215789384116862,9.141837376207672,8.513609637035062,11.088388802795409,10.921407070601049,9.012583888592694
points59,13.515649234586718,8.57817317236057,15.58788147241971,19.45594918513129,21.050601648002846,18.599315035256634,9.146422907409818,16.29811277199416,17.817722250704318,16.550347416605984,17.704539102377105,12.098092846659709,9.44053173836146,16.29811277199416,16.550347416605984,12.54520414549723,17.42910205354321,18.056288269116667,11.701214576067327,16.222880732296705,15.958058120117581,11.231505483367826,8.002317193695365,8.125144829118797,8.462439290590732,9.402634034582038,7.770761285382209
points60,22.369765249127344,11.368804966314704,5.152625417231185,15.740045393152663,18.48352472658969,11.804356739643765,12.677249031808191,9.643317145283364,11.207374821532488,24.803884756534085,15.163509509191423,17.25519121624355,11.974095991942653,9.643317145283364,24.803884756534085,6.629240687135296,15.384224041209821,24.42596334167293,18.76692034471365,15.764282940333223,15.166093483566321,12.427857187424932,10.849936999418725,10.742690916706657,11.839788468915918,12.986855749935655,10.506498589389569
points61,15.680883243277153,15.942767081804016,14.32623799611484,15.47747569304567,10.905259898996565,19.593995525513645,16.264118223498524,12.571679230960093,17.69800406366947,18.568712627888555,13.93458042341718,9.635585996059392,19.433870461709244,12.571679230960093,18.568712627888555,17.903440041185323,14.64226757373648,12.88492922974872,10.666900696244614,13.013476847093568,10.354958988422107,9.40264555765664,18.72350722854981,18.019372760875065,15.228023279021333,15.872847572543083,18.336832320401193
points62,13.075478083593108,9.234793213845013,16.57193497862368,12.51056487452651,20.866890884231633,11.649276890360872,9.638817770764568,13.530524165393672,14.99329010037312,16.140033272910706,9.132059460314139,18.332319509350732,8.048690498892459,13.530524165393672,16.140033272910706,9.805787105866974,9.582343119772606,18.56358117509475,18.92817940444716,9.54374340345742,8.08272278321434,4.914929655951327,7.851162967735328,7.598939498843657,8.638744392736871,8.566538315274425,7.667850194007698
