,dim1,dim2,dim3,dim4,dim5,dim6
point38,6.638391659923642,5.250104791354654,6.357991980013951,0.0,8.135854602421258,4.069735547597701
point39,9.81845880617392,6.8040705636761505,9.645215765761375,5.685206038803524,6.534410974376128,7.882318844854513
point40,11.130310914078665,7.920642891584271,9.772475248634034,6.486199054711695,7.126272787528964,6.629182773967006
point41,5.498170361825315,3.145809734815886,6.1908327109501515,2.8963880299851894,2.752428294065391,10.60997365937408
point42,7.544855923564406,5.406851288929081,6.030628226586684,3.564840441882866,4.251005177671167,8.790061831981712
point43,7.322115724052719,4.325370345973006,6.325244279917481,2.372764454333707,3.850106426527311,9.52493226169906
point44,7.743138245481643,4.596670519854279,6.72952167304069,4.270115594336479,3.6455596387589275,9.160701112854762
point45,6.741929681703343,4.068115566699019,6.772115432250073,3.2844505288574704,3.1961633822368922,9.703722992079213
point46,5.898659348364798,1.7478216624282172,6.293168285265516,5.359078531201688,1.7025843638339315,12.137267921861428
point47,10.373855159781595,8.013858048142922,9.740620545461718,4.0718952832087405,7.35327281549085,6.244407338563604
point48,3.4309792001631796,3.0104295218362744,1.8490379195133766,11.052942372091747,3.2429633905450364,9.77404764271681
point49,5.682208657046741,1.667493142351981,5.479668411134179,4.894920820313483,1.4957780605561473,12.350649292576438
point50,6.404716499490859,2.545889906478342,6.053691826009396,4.308071363144109,2.0992259794313046,11.30804009562027
point51,6.333449247024322,2.2262476347738738,6.010126907980133,6.197705659108293,2.532011427826636,11.578918340089727
point52,6.507829104190921,2.78764823342616,5.6835808013240126,5.720819812910898,2.806220796888152,10.607500334118575
point53,5.007867403069072,1.7247051215753866,5.235137591692677,7.573511723018071,1.773126791471701,12.021160177637183
point54,6.944923829737169,4.558498789903735,6.043474699771954,2.6798398407626607,3.8007938825202316,9.4700376380761
point55,5.6553422059067575,4.418081929382601,4.229773946493141,12.327579220665612,4.598870463676915,8.524294254324019
point56,5.7448144435216815,2.855943565710899,5.525672587588175,8.49892616133588,2.5857373944403355,10.447954931672104
point57,7.2991148316587955,3.789059587491489,7.773161263531196,5.017371317730861,3.8948904851277915,10.919926439721312
point58,3.8538708114499145,1.4398306996952743,3.3935863372063544,8.279744974888642,0.7124391644202493,11.666986237419877
point59,8.571007113335414,5.242324954374502,8.769399333941132,3.8087433651145024,4.271360445078307,8.812485241339585
point60,7.548782445654339,3.6431201633496504,7.597097376662838,4.887761464124471,3.1006785208901833,10.721483283358843
point61,6.242114971626002,2.8784089159647306,6.205973752252294,8.333494513916476,2.8236355147881125,10.423403424681696
point62,5.371248145430782,1.4305725978277957,5.733893262381217,6.8092471757025965,1.3137472596267306,11.924951400265439
point63,5.157467326720244,1.454659217070943,5.3560751855388,4.144508448863367,1.4416705185183125,12.46380772560022
point64,5.638101311205375,2.289863179377005,5.449850899575443,5.8117736595361675,2.8752826324275276,10.88489901400334
point65,3.823800162452073,3.191395421117782,3.7220331059303406,4.65223104894675,2.591481396189022,10.584210089124863
point66,3.6121153406360516,1.9101771682031405,2.51595519740638,9.229504382242197,1.2458687712432674,10.905402415058191
point67,6.379276651476681,3.048875379655565,5.204256876056275,3.674963941352818,2.6036531872261524,10.65715820495384
point68,4.613926868625792,3.251868966166993,3.6001650723106344,3.780945483082794,2.5718677164545527,10.363190341434146
point69,7.250768691394498,5.145077837667613,8.131441682242146,5.131116601508367,4.252127456852093,8.762426599468961
point70,6.022644106460066,2.803423907412362,5.808570195101513,6.797617479218918,2.2273389846150256,10.526232012028933
point71,6.241967415159996,3.458964930212419,6.452038070794675,3.1524103856100893,2.9321913437560103,10.407545967403559
point72,10.077398848557564,6.178382220933897,10.06807375743716,4.198879502946814,6.0657772977194835,8.53376984701039
point73,10.29740497226752,6.590608768444337,9.358449151457478,3.8235772631275013,6.25456788589026,7.781923464209551
point74,4.958140399743713,1.2766625805041192,4.856861033050408,5.73150355984423,1.2127747676958047,11.98519212457355
point75,0.0,13.454343117232453,12.349462427772615,5.904547741581256,13.165935115030932,0.0
point76,5.3295071242927685,1.6242333261978736,5.500557001114357,6.936460101994389,1.7455196616577913,11.716559221166552
point77,6.980629202975116,3.55911362012894,7.434013256996077,3.3044362225738713,2.880871212239545,10.941947145535536
point78,11.515959468848521,8.713291168504714,10.8891935865044,6.159753433777395,8.075788858300678,5.19284603370179
point79,5.657807235077182,3.5063250331469016,4.631480486439208,4.86139961042652,2.340646038615413,10.195943376268806
point80,4.980040351226332,4.025612283881971,3.254565578388492,11.19140392859418,3.4232989960379,8.947045245305203
point81,5.882117484801857,3.2584553013176265,6.408784596652568,5.24688958306583,3.4546875725050064,10.927127053881787
point82,4.641957395716276,2.59492297246105,3.6578340560925806,5.51380097525423,1.7130884066319276,11.16525604058814
point83,6.001210349163708,4.9644647787960725,5.7465310891424854,4.714998193377906,4.923967439319438,9.483634352661788
point84,5.06768872489485,1.1850804919044975,5.345350618239896,5.4965671581963536,1.2158557630132463,12.981460250060055
point85,9.322658689253242,7.263400016366796,8.210288968064516,3.447223225017773,6.454394546112026,6.828409277446535
point86,6.834029982383011,4.084912587134248,5.488328700388319,3.8909880715893364,3.333967072244144,9.462665923093276
point87,6.476528041710297,3.973903652533261,6.7421265961983075,7.867896733290864,4.164597618759869,9.83739422609998
point88,8.531717077552308,5.1348496854750385,8.108126167222942,4.453989485320723,5.061042621568738,9.662917275654978
point89,9.176470235980302,6.8384515363184875,9.325169326971821,4.4397235014802385,6.113300196525824,7.136458773763891
point90,3.898674100946039,1.4621040036283708,3.3831178698204716,7.622978400144535,1.2009921892407958,11.582967280988653
point91,7.029827422601294,4.355646435941002,5.788054535993311,4.908689024822087,3.1871326229834507,9.61688153090199
point92,6.682124463401418,5.350872787800191,5.065490676095572,4.075540595149683,4.902334926091221,8.217680605356355
point93,7.062916235644086,3.5992250710285907,7.901425476436121,3.5955888814520427,3.356368157479085,10.783775318854085
point94,14.253390357193817,12.047736726923375,13.121761987729954,5.2864103016645485,11.484586505048615,2.89573887913309
point95,7.462566261048397,4.362520036101698,7.916166519786895,3.683369732648681,4.280590212664594,10.539548564313664
point96,5.374409185542151,4.193380605495596,3.945253422362575,3.74229413321716,3.0309503052369218,9.632982650628913
point97,4.512530610323732,2.2394588499564856,3.349501754488037,9.296536012909671,1.5547805385101225,11.045635467805303
point98,6.281192933491587,2.7409134730200297,7.126761815405974,4.723685623680965,2.7327087824024754,11.519291370195646
point99,5.271024051080078,2.2059056767847154,5.147456541908842,4.821687976292885,1.5013929414912475,11.425200685377632
point100,7.5209492399765585,3.70848901540552,7.036216739456157,4.204380752371301,3.670587403160937,10.647998298132743
