,dim1,dim2,dim3,dim4
point51,6.333449247024322,2.2262476347738738,6.010126907980133,6.197705659108293
point52,6.507829104190921,2.78764823342616,5.6835808013240126,5.720819812910898
point53,5.007867403069072,1.7247051215753866,5.235137591692677,7.573511723018071
point54,6.944923829737169,4.558498789903735,6.043474699771954,2.6798398407626607
point55,5.6553422059067575,4.418081929382601,4.229773946493141,12.327579220665612
point56,5.7448144435216815,2.855943565710899,5.525672587588175,8.49892616133588
point57,7.2991148316587955,3.789059587491489,7.773161263531196,5.017371317730861
point58,3.8538708114499145,1.4398306996952743,3.3935863372063544,8.279744974888642
point59,8.571007113335414,5.242324954374502,8.769399333941132,3.8087433651145024
point60,7.548782445654339,3.6431201633496504,7.597097376662838,4.887761464124471
point61,6.242114971626002,2.8784089159647306,6.205973752252294,8.333494513916476
point62,5.371248145430782,1.4305725978277957,5.733893262381217,6.8092471757025965
point63,5.157467326720244,1.454659217070943,5.3560751855388,4.144508448863367
point64,5.638101311205375,2.289863179377005,5.449850899575443,5.8117736595361675
point65,3.823800162452073,3.191395421117782,3.7220331059303406,4.65223104894675
point66,3.6121153406360516,1.9101771682031405,2.51595519740638,9.229504382242197
point67,6.379276651476681,3.048875379655565,5.204256876056275,3.674963941352818
point68,4.613926868625792,3.251868966166993,3.6001650723106344,3.780945483082794
point69,7.250768691394498,5.145077837667613,8.131441682242146,5.131116601508367
point70,6.022644106460066,2.803423907412362,5.808570195101513,6.797617479218918
point71,6.241967415159996,3.458964930212419,6.452038070794675,3.1524103856100893
point72,10.077398848557564,6.178382220933897,10.06807375743716,4.198879502946814
point73,10.29740497226752,6.590608768444337,9.358449151457478,3.8235772631275013
point74,4.958140399743713,1.2766625805041192,4.856861033050408,5.73150355984423
point75,0.0,13.454343117232453,12.349462427772615,5.904547741581256
point76,5.3295071242927685,1.6242333261978736,5.500557001114357,6.936460101994389
point77,6.980629202975116,3.55911362012894,7.434013256996077,3.3044362225738713
point78,11.515959468848521,8.713291168504714,10.8891935865044,6.159753433777395
point79,5.657807235077182,3.5063250331469016,4.631480486439208,4.86139961042652
point80,4.980040351226332,4.025612283881971,3.254565578388492,11.19140392859418
point81,5.882117484801857,3.2584553013176265,6.408784596652568,5.24688958306583
point82,4.641957395716276,2.59492297246105,3.6578340560925806,5.51380097525423
point83,6.001210349163708,4.9644647787960725,5.7465310891424854,4.714998193377906
point84,5.06768872489485,1.1850804919044975,5.345350618239896,5.4965671581963536
point85,9.322658689253242,7.263400016366796,8.210288968064516,3.447223225017773
point86,6.834029982383011,4.084912587134248,5.488328700388319,3.8909880715893364
point87,6.476528041710297,3.973903652533261,6.7421265961983075,7.867896733290864
point88,8.531717077552308,5.1348496854750385,8.108126167222942,4.453989485320723
point89,9.176470235980302,6.8384515363184875,9.325169326971821,4.4397235014802385
point90,3.898674100946039,1.4621040036283708,3.3831178698204716,7.622978400144535
point91,7.029827422601294,4.355646435941002,5.788054535993311,4.908689024822087
point92,6.682124463401418,5.350872787800191,5.065490676095572,4.075540595149683
point93,7.062916235644086,3.5992250710285907,7.901425476436121,3.5955888814520427
point94,14.253390357193817,12.047736726923375,13.121761987729954,5.2864103016645485
point95,7.462566261048397,4.362520036101698,7.916166519786895,3.683369732648681
point96,5.374409185542151,4.193380605495596,3.945253422362575,3.74229413321716
point97,4.512530610323732,2.2394588499564856,3.349501754488037,9.296536012909671
point98,6.281192933491587,2.7409134730200297,7.126761815405974,4.723685623680965
point99,5.271024051080078,2.2059056767847154,5.147456541908842,4.821687976292885
point100,7.5209492399765585,3.70848901540552,7.036216739456157,4.204380752371301
